SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
9828,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),14,1082,NORTHERN SAND LANCE,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 02:48:47 UTC,ryan_martin,2023-07-01 02:48:58 UTC,---
9833,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),14,1080,BLOOD STAR,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 02:48:59 UTC,ryan_martin,2023-07-01 02:49:00 UTC,---
9838,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),14,1066,Sea Anemones (Actinostola sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 02:49:01 UTC,ryan_martin,2023-07-01 02:49:02 UTC,---
9841,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),14,1065,Sea Pen (P. aculeata),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 02:49:03 UTC,ryan_martin,2023-07-01 02:49:04 UTC,---
9992,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1100,"Polar Lebbeid, Polar Shrimp",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 06:47:53 UTC,Jamie,2023-07-01 06:48:02 UTC,---
9966,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1111,JONAH CRAB,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,Jamie,2023-07-01 06:47:37 UTC,Jamie,2023-07-01 06:47:48 UTC,---
9985,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1112,Arctic Lyre Crab/Lesser toad crab,calculated specimen weight is lower than expected,The calculated total specimen weight is less than the basket weight by a different of greater than 25%,Jamie,2023-07-01 06:47:51 UTC,Jamie,2023-07-01 06:47:52 UTC,---
9977,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1123,NORTHERN STONE CRAB,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,Jamie,2023-07-01 06:47:48 UTC,Jamie,2023-07-01 06:47:50 UTC,---
10005,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1114,PARATHEMISTO,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 06:48:03 UTC,Jamie,2023-07-01 06:48:04 UTC,---
10011,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1110,Sea Spiders unidentified (Nymphon sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 06:48:05 UTC,Jamie,2023-07-01 06:48:07 UTC,---
10016,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),15,1107,Octopus (Bathypolypus sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 06:48:08 UTC,Jamie,2023-07-01 06:48:10 UTC,---
