aphia_id,code,common_name_en,common_name_fr,created_at,created_by,created_by_id,id,invertebrate,is_invalid,is_new,last_modified_by,last_modified_by_id,scientific_name,shrimp,updated_at,uuid
107507,2317,Doll eualid,Bouc,2020-08-13 14:04:48 UTC,,,2317,No,No,No,,,Eualus pusiolus,No,2023-03-07 15:15:46 UTC,de51c171-fa26-4ee1-b969-a904eeca26fd
107499,2318,bigclaw hippolyte / big-clawed shrimp,crevette de Gordon,2023-01-30 19:25:00 UTC,,,11866,No,No,Yes,,,Caridion gordoni,No,2023-03-07 15:22:55 UTC,b13f4a77-3f15-492d-b49c-21f80e554b40
107520,2319,Spiny lebbeid,Bouc (L. groenlandicus),2020-08-13 14:04:48 UTC,,,2319,No,No,No,boivinb,46,Lebbeus groenlandicus,Yes,2023-05-23 20:03:15 UTC,c94c5fd1-7650-4ae2-9f61-bd473c3ffd66
106989,2320,Lebbeids unidentified (Lebbeus sp.),Boucs (Lebbeus sp.),2022-05-25 01:46:31 UTC,pablo,10,10936,No,No,No,boivinb,46,Lebbeus sp.,Yes,2023-05-24 17:45:17 UTC,2f9d5589-dbe1-11ec-bdaf-a08cfde36583
106986,2330,Eualus unidentified,Bouc (Eualus sp.),2020-08-13 14:04:48 UTC,,,2330,No,No,No,boivinb,46,Eualus sp.,Yes,2023-05-23 20:03:12 UTC,5eb71df4-e0b3-4810-9697-03b285688b43
158359,2331,Greenland shrimp,Bouc du Groenland (E. macilentus),2020-08-13 14:04:48 UTC,,,2331,No,No,No,boivinb,46,Eualus macilentus,Yes,2023-05-23 20:03:13 UTC,ee9aae66-9b05-4ea7-bfa0-0e5585ed4a37
158357,2332,INCL SPIRONTOCARIS FABRICII,Bouc Arctique (E. fabricii),2020-08-13 14:04:48 UTC,,,2332,No,No,No,boivinb,46,Eualus fabricii,Yes,2023-05-23 20:03:12 UTC,f55cc8d9-4e4e-49b9-8f62-6f183715117f
107504,2333,"Circumpolar Eualid, Circumpolar Shrimp",Bouc (E.gaimardii),2020-08-13 14:04:48 UTC,,,2333,No,No,No,boivinb,46,Eualus gaimardii,Yes,2023-05-23 20:03:13 UTC,f19dde7a-c5e8-4fe5-b50c-db43cb2ff79d
155670,2350,CLADOCERA,,2023-01-30 19:25:03 UTC,,,11867,No,No,Yes,,,Diplostraca,No,2023-03-07 15:22:55 UTC,9e979bb7-cc8e-4978-ad05-696fc56a0a86
106269,2351,Podon,,2023-01-30 19:25:05 UTC,,,11868,No,No,Yes,,,Podon,No,2023-03-07 15:22:55 UTC,53086a87-abd1-4189-8ceb-44bcc537ac2d
106267,2352,Evadne,,2023-01-30 19:25:06 UTC,,,11869,No,No,Yes,,,Evadne,No,2023-03-07 15:22:56 UTC,463797c1-8e5d-4d8e-87a1-7e717a815c01
106786,2360,deepsea shrimps,,2023-01-30 19:25:08 UTC,,,11870,No,No,Yes,,,Oplophoridae,No,2023-03-07 15:22:56 UTC,e669cb4c-8a7d-4121-a6d6-a93212b14374
107018,2361,Shrimp unidentified (Acanthephyra sp.),Crevette (Acanthephyra sp.),2022-05-25 01:46:31 UTC,pablo,10,10968,No,No,No,boivinb,46,Acanthephyra sp.,Yes,2023-05-24 17:53:46 UTC,2f9dc125-dbe1-11ec-bdaf-a08cfde36583
