basket_wt_kg,catch_id,creation_date,id,last_modified_date,mission_number,sampled,set_number,size_class,size_class_display,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid
2.42,875,2023-06-29 20:58:16 UTC,919,2023-06-29 20:58:16 UTC,TEL-2023-010,Yes,5,1,1,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173
0.179,875,2023-06-29 21:39:53 UTC,939,2023-06-29 21:39:53 UTC,TEL-2023-010,Yes,5,1,1,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173
0.19,875,2023-06-29 22:04:46 UTC,940,2023-06-29 22:04:46 UTC,TEL-2023-010,Yes,5,1,1,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173
1.31,878,2023-06-29 20:58:47 UTC,922,2023-06-29 20:58:47 UTC,TEL-2023-010,Yes,5,1,1,127023,70,MACKEREL ATLANTIC,Maquereau bleu,Scomber scombrus,614cc280-5149-4d97-a3a1-39a54517eaa7
21.29,871,2023-06-29 20:56:04 UTC,911,2023-06-29 20:56:04 UTC,TEL-2023-010,Yes,5,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
18.88,871,2023-06-29 20:56:20 UTC,912,2023-06-29 20:56:20 UTC,TEL-2023-010,Yes,5,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
12.53,871,2023-06-29 20:56:30 UTC,913,2023-06-29 20:56:30 UTC,TEL-2023-010,Yes,5,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
18.571,871,2023-06-29 20:56:35 UTC,914,2023-06-29 21:39:53 UTC,TEL-2023-010,Yes,5,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
0.644,886,2023-06-29 21:03:24 UTC,935,2023-06-29 21:03:24 UTC,TEL-2023-010,Yes,5,1,1,159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073
0.14,881,2023-06-29 21:01:07 UTC,930,2023-06-29 21:01:07 UTC,TEL-2023-010,Yes,5,1,1,159267,640,OCEAN POUT,Loquette d'Amérique,Zoarces americanus,c7c8eaa5-b522-4315-8cca-3065928f135e
1.25,873,2023-06-29 20:57:11 UTC,917,2023-06-29 20:57:11 UTC,TEL-2023-010,Yes,5,1,1,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587
0.029,885,2023-06-29 21:03:10 UTC,934,2023-06-29 21:03:10 UTC,TEL-2023-010,No,5,1,1,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17
0.006,884,2023-06-29 21:02:28 UTC,933,2023-06-29 21:02:28 UTC,TEL-2023-010,Yes,5,1,1,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297
0.148,882,2023-06-29 21:01:37 UTC,931,2023-06-29 21:01:37 UTC,TEL-2023-010,Yes,5,1,1,153087,4511,SHORT-FIN SQUID,Encornet rouge nordique,Illex illecebrosus,a34b02ba-08d9-449c-ae3a-895ecbf356f7
0.106,883,2023-06-29 21:02:05 UTC,932,2023-06-29 21:02:05 UTC,TEL-2023-010,Yes,5,1,1,574541,4512,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",,Doryteuthis pealeii,f7103d59-0af7-46c5-9ee1-1e0435b33a09
0.002,887,2023-06-29 21:04:02 UTC,936,2023-06-29 21:46:57 UTC,TEL-2023-010,No,5,1,1,11725,4536,BOBTAIL SQUID; SEPIOLODAE,Sepiolidae non-spécifié,Sepiolidae (f.),2d243cc2-5f7c-4dfe-94a6-d6341b770eaf
0.001,889,2023-06-29 21:06:03 UTC,938,2023-06-29 21:47:12 UTC,TEL-2023-010,No,5,1,1,123574,6212,Brittle Stars unidentified (Ophiura sp.),Ophiures non-spécifié (Ophiura sp.),Ophiura sp.,924f4307-315c-40cc-b402-e6d5686216e4
0.0035,888,2023-06-29 21:05:02 UTC,937,2023-06-29 21:05:02 UTC,TEL-2023-010,No,5,1,1,128515,8367,Sea Pen (P. aculeata),Plume de mer (P. aculeata),Pennatula aculeata,2f9985be-dbe1-11ec-bdaf-a08cfde36583
1.55,895,2023-06-29 23:59:07 UTC,947,2023-06-29 23:59:07 UTC,TEL-2023-010,Yes,6,1,1,126504,12,WHITE HAKE,Merluche blanche,Urophycis tenuis,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c
0.84,894,2023-06-29 23:59:00 UTC,946,2023-06-29 23:59:00 UTC,TEL-2023-010,Yes,6,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
0.029,894,2023-06-30 00:34:02 UTC,959,2023-06-30 00:34:02 UTC,TEL-2023-010,Yes,6,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
8.371,892,2023-06-29 23:58:32 UTC,943,2023-06-30 00:34:02 UTC,TEL-2023-010,Yes,6,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
7.42,892,2023-06-29 23:58:38 UTC,944,2023-06-29 23:58:38 UTC,TEL-2023-010,No,6,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
